business_id,positive_photos,negative_photos
clZe2m5wDeZsBsGnTnX4Gg,1,0
vsiL3XBeoc4yh1lGWXwNdw,0,1
WXPLWqJuOwPwtJa2HQ-2fA,2,0
BFcPYfBUYs7e4HZIxFQGmg,0,1
kkdqDkenBuqdbX6rAl6Atw,2,0
vkTuWMjgunmMP8DKQKQHJg,0,6
28WPlFlsKchH-3dkub1Iiw,0,1
AnOb3EDRIwfVayPWddr78g,2,1
AUlGrXIx9dkYh8_azGBGdw,5,1
p1URrIkHBPHuB1YJX-WVgg,1,0
R3TC2oq8fQK9c9BNMZ-ynA,12,18
UvXoEGA3I-60r980E-fa_w,0,1
iA5hM2Kn6HKcNEkMNWSf8g,1,0
L_LjeIL2qW0r-BkDqDRcFA,0,1
93zez33QieKhcmfiSMUA-Q,4,1
hlXjhDIieeDg1BrX2INeZw,0,1
dOKSdB0X4tF2EmgH_RHq0w,3,0
pUfydTma1QSFhYcGUwhzSQ,21,2
eHLUQ2W_hXx61NmiL9kSVg,0,2
niacDKknyO9ZSfRQDHX6ZA,5,2
GMcit-31kUNFVulQGwSEwA,8,0
er56AAp9r8mEJBAhaG02Xg,3,1
uoUa8ugZLrly0bA268IqEg,3,5
w7BHkgxJS7ncuXep905GLQ,1,0
XMCNABugc_Pw3g4LohYZww,14,9
dPbvWt-6YVxtGkeh7f9JpQ,1,0
EJmiKQKlWfY-0iVlya7FOQ,5,3
45m_xaD3A1saWNjVDahECQ,1,0
9BsukC2Q4LHt35yMGwNW4w,14,9
64QldpwnBOWbv25w2wngmg,5,7
CgnHLwWbteqb8qxcZgBLyw,3,1
epBpi9x8By_VhIcV5HOmDA,3,1
byVmQiGVTyLrG_74OFJ7eg,0,1
lKjyr4t7_5J9OtSrigWgEg,0,4
vs4buLuW54KW1aZFNe59bQ,1,0
bftuYnG58kywe6FSmqMrZw,3,2
i1hVRtrx1h6faUArJ2Im9A,1,0
OaM2Bjeo2Ftt84ruTrzPNQ,1,3
Ih5Q1cNDLchhi1FqqTwrag,14,21
hb96ToDVKWQkAj5h-UB5Ow,4,1
bLi48v8Div6Qm2Fyaw0C6Q,4,1
3te8dGIvzz5V5_kMIr6-Dg,2,0
v_UM-AW9YYTCbWUNa-w1Gg,9,4
YQpYAsqBFQiOJB0hDBaO6g,1,1
claim2_6MEx2kVQ3o04X-Q,0,2
v0bL0-frMFrvHz-5OgUczw,3,2
QfWFxmXqRGixztgaZN0gOA,3,5
jv8h_KqwNb3DGwimITZDDg,2,0
wpStZsQ3yKudY92DRq-mOA,5,1
54LYVM1gCGQ2UVFK9QhgTw,1,3
u0YYkO2CeD3JFCkR1wSMog,3,9
Mwl79jLlxPQabA3yiSPz0A,1,0
gg62odhAf0bHAvCaTaaEhQ,1,0
kusoRTY5CtjCQAlH-XEzQw,3,1
rLMsz9ams_xrlX_weejhtQ,8,3
nTx_O2dUTNLoyHvT6Mj-kw,2,1
jUddhNjGAE6W7MQKaUEZ4Q,5,0
19wIOjBlI_2EKGM8E4O6Mg,1,0
N9qQPezv9swXFLPgoMdhOg,10,0
NwDoIga1BfKAsw-0xq62iQ,0,1
Ze4VPogvcD7inc3QuvY_yg,6,4
_CsAbMnN5NgstsrmgymQFg,0,3
k8K3Fk7YedH60gXyPn5ATw,14,9
USRXU4ASBAFSKhlk-KVrCw,0,2
nrqN45BQyxDjXy2q3VdolA,0,1
jPQxZTuFhuVHsu-DI4hm2A,0,1
kemSq9mBxmPaKHQrUXPJ_g,2,0
L3r41ek26f6E1rRFa39fGg,4,0
UNT3bzpG4b9JSeaskTAMhw,5,0
JOrz9T33rVHDbusIKPj96g,1,0
kPR47uxGqmQNIQkIZr2_Tg,19,15
gndb2XMDHYI5OEDvwEKwaQ,1,0
GiNGyJIrpzHqsu3GxB5vpg,7,2
i1t1vBPEWkjPVEW9OoDH2A,5,1
FlR7sRTs_xyW8rr2aQHiww,6,1
vqG1Z2XpS_PryPsfY0CSng,10,4
mzGBNRnQj7Jcyj0qntt7ag,0,1
9q8JSsHC5lR6Hh16W_5ggg,5,1
ksYMRWS-hhU7SH0-cB96rA,0,1
tJITTrheGN4ZZ25xMqWwnA,1,0
7j4JCwpULz9oYb2eQb2dNg,7,1
KiTHWMK20GvgPvpHSzTHTg,8,0
BjzVSvTuRlna5AjtpwoZyA,1,0
_MOZSg1ajEvkubHXM3aDFg,15,10
poYE-EQTahUtKed1ElgdjA,4,4
lGmXgLQklCW0laI5Gdxopw,13,3
FLtVhfTaYIz0C7AsU6KOuw,15,6
BnpuVvPy3sfLlkqKCx6Xnw,10,24
Mx8jCUdhaNbMgx_04DWHdA,18,1
21sGRVR7HEs_t6PdB9tGMw,4,0
IYNhLtGRSdb0Kr_t7EvQHw,0,1
NHFsXnwZDkY3ufoTE9iKjQ,8,0
pIWWeRj4tH2R9z_DYzEFdA,3,0
cF0PKI4NzTpojcQvQRNRLw,4,0
PcPgHqQE5lPyBXO4YCJuOQ,0,1
lf-H2l65FE0oluEco-m4KA,0,1
93kdIq8Ao3KJgXWiuD4ZIw,2,0
goZV-PlwLJOB8s5O3GruxA,7,1
2glxqlLWp6RTYcn1amINNQ,1,0
orGCyrtYZl9JOV5XIgxJEg,14,11
11PFVSs86ssEnxafcxW9Xg,1,0
kRlzBlhoD9P__yElGJGTcg,5,3
clL0-uy-DH0bJgBFEfoxFA,10,0
aokqWHt8vMf5iwj8KZZ5eg,1,2
vx3nrYsVvissEar4XeGRDg,0,1
z_zyOfFO-OIYgCR5hstyTw,3,1
BoTb3FqOsJaFe_koVfyGbw,9,1
fRjl8uquFV4C4138L-5tnA,2,1
WiaOC1MGaYS_UO9h0aiEhA,8,5
PEy0IduplUy2zFu72Qh-QQ,0,1
r9pcdBvf2wc6sIZP8DVIIw,1,1
kyphxFtMIC6w7ktg-fwxWA,0,1
oAMTQB42vLuJS5LVGXiR9A,0,1
kcF-en40P3J9L8nLy5lKqQ,2,1
3T3Fk6b2Vena-Ot-KQ1USw,95,23
0CAzhX1w9qGD8iz4F8XZjQ,6,4
ulvhY9bckuDWF8qey_yM9Q,28,16
btzrm4mHndjIOy3yScQOIA,0,1
bZU80cosBR5btXby1xCOyg,9,12
WSVLZy-A3sznGSWyjnDbmg,1,1
kkK7Z5n-cFXZISyrsIR4Gw,3,0
nZS3Zv36uJOELtNP-ogvOQ,4,1
hqvqLihniz0ynit9c36JHg,23,20
LmyysENQBd2AgnDBE90cXA,1,3
33RIOVkaSpWvGUk2rzzpkQ,1,0
wcFscp4-QH0PJeIW1EOQEQ,3,0
xktbomDR-rxj8rpE_Ol1PA,7,0
PE6zjI3g0iscqUixA0VZpA,2,0
hX3qKoTnpzxTGiPuO2YVTQ,1,3
_Ss4d4dYzehTmWJGpkqL7w,5,1
KWM6C4g9x7Fnmjdz8H18sw,0,2
fs_-JDwKyVIc6iCXnpUzgw,0,1
HiMb8cwGsnFVwYxt1h0RCg,7,4
ImLXYkhmd9ELwL3b9xAmsQ,2,3
x_onUwRHvlStmDhmLIuPBg,5,10
R0YqczlV4Dl60DVi96rASQ,4,0
U1LB3sRMGTu_h7Sf9QdNoA,2,2
D3gq9rJUEUyK58NmUmwFLQ,1,1
ZKWGMUV_XqxtISRcDGUnrA,1,0
W-ULhCNr4YPMTKtxP2AVDg,7,0
7pkiQvVfcsa-wtBEeNHHUg,1,5
_SJL00SSZNc7RxIUlTWNkA,1,0
AMzz1UU3nN7CshAFK9X9mQ,2,1
qhdrw31E9cNbqrJoPOqWqA,3,0
sE05glLpll9KPv3dcO79GQ,0,2
28GeAA6PjuHmqgMmp1E2Uw,1,0
Ffhe2cmRyloz3CCdRGvHtA,9,2
V9qjoWogqqMWvFFpuASRYw,4,2
I0Ms_lndgwqflsTSzhL_AQ,12,1
LhZsPzCOVdYobQy9b5dPFA,1,0
yZZIs-9_AqoHXb2Z6g26kQ,9,4
FXuMp43qxKoOUk5kdky1kQ,2,1
xUvgrDdKhcmaP6Zv0ssb6A,0,1
J9BmILDpV1Pr3GKU9XhjTQ,2,2
TWSKXlz2niDh9Pyuj90Dng,1,5
UXqm21CiFIojOZdALb-AaA,5,0
URvh6DgFyA-d6Z7OVKxczg,1,0
w_2Q18lwkXpqq7-pWWii9A,1,0
wV5IYyqc35F1g3fSZjt41A,1,3
Xe6zB2_5dzDltytsH2ybWQ,3,1
umYIc-FJg-3tsqoVaM-Mnw,2,1
-InU2nAbC9AuS-Um2Cowgw,0,2
--cjBEbXMI2obtaRHNSFrA,1,3
MkITdtEYh1ocu7uCJ9R4cA,5,1
mWEltFSw33nARGPLvZiAJw,2,0
j3QIwGvwZHj459YHJnfCHQ,9,4
8pLlsYgvrC5SJL1Con8FYw,0,1
Tl9dhHhmJBl6PGSVk-OpMA,13,9
3YV-GLtQLI3sbZDZ-0NN4Q,1,0
-CLTZ0cO-ooKDDmXHFoGMg,10,5
bAdlbqHs4ayJxOXOUFQDyw,7,3
5Hu5StOBGtxFhgV0OSkPSA,12,6
lw9OEt6oUPm2fqRHEfSumQ,7,1
714OOpxLocIWntouSN6BZw,1,0
u4D2VypIx3nMsRRbOwx-sA,0,1
uhb7nSskHRm5RFbGkGlGwQ,6,2
ucJz9Ick_GtR9aG9JJtjTw,3,0
qsdHK1eQtXmAJNdVJxiC3w,7,2
Xt6xo-UmJhYtHiscwRnw0A,2,3
Zn3GV2xa9a-8bHjUM-2sow,5,1
7HN_DGWi4E76cP7aR-YbPw,0,1
d3H_Hkc42Dp0hJRQrZzIRw,0,1
GY6gveR-80Wak8uvPGusRQ,0,1
0Oskle2GkyYMseuJ3TDwRA,1,1
h_XwA08PJXa0NaWdsbhYPQ,1,0
nbf4o8gUP2y9JKFE2wBO2A,1,0
hcpDtcyZ3bcKBgQeHkayvQ,0,3
OgJ0KxwJcJ9R5bUK0ixCbg,22,19
-zHyGS5Qt2geiHt5rySo7g,2,1
CnzzfFzVB4us-NHY-NhmsA,1,2
SqkXv3eDtOrkeg-WgXFKdg,17,13
hH8002bWtOFYtLgarFZBsg,25,2
G9h56Qy5DudCqKBmbPWyzQ,4,0
eBbAEg9DwtmTITdJylTD7A,4,3
3aKRYHFXMjKiaSAsVH4qiw,0,1
p1uBshxgXpRrWGcLGEVibA,8,2
fSVq-hRt3enBlTyYuiIFyg,0,1
rdifwelsxkuUf-tw2O4o1g,1,0
_INFdJRnEGeBD8zlg6egqQ,1,0
4sAbjATsbj5XfIDIAeHtXA,7,2
W6Do-RqSULOil1LtZ6XwxA,2,1
xj6Xs3HHr7YBdY2gH3sOfw,0,1
ePkouyI6uFc9ifEzvxD4jw,1,1
WhXlv34bw0-112MqSPmCHw,7,0
a7euZScX4ljHdUBcdwtMvg,2,1
mQa_Rh-LykYTll9cPFJcKg,10,0
3Kcq4_6RAhltAO6ZVgVygQ,8,2
8nmjvYX4N67cxOsGfbEgjg,1,10
S16YsO21x0MOHWWhN5HxAw,2,2
9nhUfBLbsT_oLmIhB1jdgw,6,0
bCrMHwCLZzyKsAUOiAL0OA,4,8
zQlaDJqp3c_HAuYP5Ukk3w,1,0
VJgmaGqQ3n3SSplmx1LkDg,3,3
8al-XRt5nuIize8_STWffQ,2,1
PXrvCV3ZjU60s0_hIuffvA,1,2
TAEMcgLcCLebzn8Jd3nVRw,0,1
TTVXY5vOJDqC0_Je8UhK8A,0,2
Z3UBeP5EoKIXIDmEdA3JmQ,3,0
j_prxgHnMvuRdrGjAI9qXQ,5,4
OQM4Ypt8N-0Dxvpj4fOKXw,4,0
MEyguHG-U-Fy1qkK_Yf_FQ,4,4
H1j34TgbrVZkxeww9xlJTw,0,3
--9e1ONYQuAa-CB_Rrw7Tw,102,34
FuNMqkKUGzDnX4XJcJee4Q,5,2
iz_AI8bCsEwtfYo59ff7DA,0,1
nc2ToNeakcNlFOggSuh0SQ,0,1
JhooPRvvIolppVyb9zerAg,1,0
e-gSnNTfmy6l2bwemjUYpQ,1,2
vJdUC1rCBI-DU7kNJulLWA,0,1
WtqzJcXEt5lc0hSeJ-bAJg,9,1
2YBO1LEKIgyle0uX50u15Q,8,4
Be1lHthd7Y7SOi1bPQtqSQ,0,1
JZ4ZRdRSllhuAt94tFCH8w,2,0
0qet57CmMA5qUm6gPFUTpg,3,1
KPfwWn0wcf482l_T9G6Q3g,1,0
sDJwRKmvlox1d1U8oWRBlQ,1,0
S5deRiFlRPXdFFMGBGRE1g,4,5
pSXHnUevkD7ByBVbY2aNvQ,0,1
gKXsFVhWyK7MLQhSKG5_mA,2,2
TH6xAms1ns17CoYaTAinOw,0,2
fThrN4tfupIGetkrz18JOg,4,7
n8RVrpWpcd3HprzEnJ3RxA,6,2
7olK8lUgnv5O8PyvN8t_Yg,3,2
Szi29P4JjNiHUgEdaJD77w,1,0
fYLCKglfKHjgzcOeo4ZDaw,4,0
q4mx-ff4_LvU3NnMvNIrZA,1,1
BRfNEBNtKq5H6UQol18fBw,1,0
_5wi2C7x68Bt14qhdCqi1Q,2,0
95OKRGypX25zoyvJYunU4g,0,1
-KqJjXDhqq6Ah5cMiF-sug,1,1
qCSyiWDbjks5OeWHlLqd7w,2,0
G4LzA_UqrzcZ5gAyWWP2sw,3,2
-pTPNlupsIvfgZ3lZXIyBw,5,1
1I-x7VBy2GIHkCEDhOt0vA,1,0
NszlQiLiHVCuT7LjAnlvnQ,2,0
bfmz_fm-9yvcAU29k9CD2g,2,0
lx_HJMFpKEZW-e9_-LyuQg,2,0
FUbPB2RwKAHu1AG4fCJizA,1,0
YehAO48XhFcDBDTZd_fhTQ,8,0
E3X8OaMYJckk4LJGd-Wd4w,1,0
RU2rqEfvUDXfpp5H8i9_kg,0,1
kw8Lh8bJAtquHkT9CB4zGg,3,4
YaGkCO51sV6MLavJ3XUmWw,1,0
M8XKncNfA4uw6tEOFySswQ,1,0
NGZoDem4-cULrT42kzTOXQ,1,2
R9hy8FSG869i9xeYNF_Y8Q,3,1
vDg3YmXFsaNgJEHBNi-7tQ,1,0
Os1n1_idfw9vv9kwULGJnQ,16,7
y3otpml08iLWdX5RCrWnbA,1,0
NSa1GeogQMuzxcg0iw_SPg,1,1
pQnGKAjNn6U1HfsdzQOncA,5,12
co8c1U1rLSI02s-AVzvJVA,1,0
2izBtfTAHSqhdT9Ym88iyg,3,2
Cdywb13_07M1_g3U85VKTA,3,2
3PxpqCcNrslEPI0vCBnrHw,1,0
4IXTkqYmAO4XH4nXnwc67w,0,2
cz6BqzzzcgO7FoWGzbQgcg,0,1
Zx4CreRji7Dxgl8iqa1DXw,1,1
24t7-XcaR6yJi_20CPoB2Q,1,1
XFdplSpbYJ19Zq61sjf4Yw,16,3
OBrZN2cmKBQ88wKg7DIUzQ,0,4
LkfdCPTWU4BNWWpou60Lww,5,10
ByR685ThcDqQ_bb4A1oj_Q,2,1
izNFwY0XMPsmmUDaSzB9ig,3,2
uubobH4WmaeHFGsF7p7r6w,0,3
mtWFEF2yTAALgBKZPuxkGw,5,3
fqBnZxSkG287OOyU9LvTig,2,5
KSSOnRQ1YSciCIkR-qOR4A,4,0
iAe3gkuK7SXVay9T5D4OFw,5,4
ZRHSidI7IIeXhTHMc9L_gw,7,2
v0ubf7h2E0OfwGGfkI1S4w,0,1
s0vNtuLs1cwEqHTXKiS05w,15,7
h7d60ALPJ0_PkWNHgzltjQ,0,1
n-zs5Cxn8MeSVPtodzvqIg,0,1
wuZcVcG2EJHQIEKEbLFRwQ,1,1
61_nXPBJKkr-lO-n66m7Vw,0,1
Akhq4AKxKRDPa6BHpiSEVQ,3,2
YRiQtFNteLUUEiGkdQ23vg,4,5
FZXdI7r9PJVWjzS0S64kog,1,0
QHovOwmmYutqJAi4tpf5kA,21,11
YWd0I1BxSzFG61lSyC3IyQ,1,1
K9wh_93EArk1srqHWyFFsw,2,4
qnFdBp12seAxwe2_iHM2bA,15,1
jVefoZbu5VF80CCB1Q2MaA,12,5
evR8OUcXO4yB5sYDBuwo3w,0,1
rypyJ-Dzu21pejGkJaIrOQ,6,1
o01ztaNP08Dq8DJImuovcw,3,0
wSZ-E1rwPQUcq1rAbn2ANg,0,1
MOgPF7lg25Pn0sgzOwNqmA,1,0
__S1Mhl6Lve4IbK3p4E19Q,1,4
zKqWjDZHo-lk7_E3hHkORg,1,6
TqAXKLF1P5XAIG9Uq2eUmQ,6,0
w8cKyRlYVM44MrmwIjdgJQ,3,1
mmazCP1ZH0QsUqDS6OivFA,21,34
uziDWXfTvCYlbQYrJT0iAQ,1,0
-AgGcbf7oX_MkGGQhaMH0g,0,1
Cly7wJhbXIDID_quND01_w,15,17
sJNcipFYElitBrtiJx0ezQ,9,19
CJ5XHM-bt7_OSyZiqoAo_w,7,0
BOMFEp6rhfREWwia0AhVdg,2,1
5oeiMlQFtJFZV6H8qatznw,2,0
tgXiIcCoKYfg-hm8yLxenQ,5,0
QywecLDR0H9TraJNd-lY_A,3,0
LvPOrcROpCk535GhmdJAzg,4,2
osfBW9AMuOqX3aDsA6Rzmg,1,0
HyKtNKSuxy9iCX2I7havKQ,5,3
iFlr0eG_qH-cgXFhji7gbQ,0,3
kh-xfdm4Yi2WbZxs4C-UUA,2,8
ghVWzVyEUW1BA_WBX-P5aQ,1,0
vnKHXrw585IOH4F3m29yFQ,0,2
3RrNAtArjkVZ1kCXAYy-KQ,1,0
JkQSLe_rBftbTJdZuQFlSw,3,2
k0ZUrpL789RZb1QuaE8_Uw,4,1
Z3ZSar8IVAR2qIupqxMynA,18,4
UYh1N1xQhOh-a7nX92xPzQ,28,25
4P8tx5_STTPOjkB_gejr5Q,1,0
pK06Y7dSR3JfqS1DgeSKtw,3,0
3_rz2ahotxjmVH0sbIaP_A,5,2
8VQu2-4UOXNm0eqVpjkE_Q,9,1
aJwVO17rF28WPCWes9qCkA,1,0
P4uQXhzxjKFBtnqfx_O4tA,2,0
SV9a5efxEVkVYW6hQHe7Iw,0,1
T6pK1xHcv3OPVnAJk3eKLw,1,3
z_m9GstWrDagyZv9lNSKjQ,0,1
HVpTl8LrT5btvNRQwkvKVw,12,0
LAXd3Y4XSy4X9iaHFwqK_A,1,0
A2Hj_dI1zPdBS4PJeN2FvQ,2,4
4uISbaUPJLVECBHIi3tpxA,17,31
A2aOwMcP0DxGPr2El7eifA,11,2
-8fOqUWFX_1qiKggIt5LnA,3,1
BC6EVZdSpCecbduY1bQLsA,0,1
yE0f7SPDqafcaE1D8WsmDQ,5,2
u5YFVrxuifUxuMRbRVC6AQ,1,0
4UVn5h6SjztAhKyozc5dTg,5,3
OQknXfMqo6izK9baqpfinA,3,1
f2BFIjiKorIh9SARv8s_ug,3,1
Cx0o524EbpLh8Luvjx6DMw,0,3
AAYsqKN_misEdz_hhFVclQ,5,5
-AgfhwHOYrsPKt-_xV_Ipg,1,1
rx1AEnleVRWMNz6vB-YhfQ,8,2
8NsYz9tzp8kOWOTBGrJyyA,14,9
br1uQbc3YU5jCpYi46nIgQ,0,3
xWpy6al-9u02BZz00Kbbyg,2,0
zu5dqKqPjJCycS5k-92Alg,1,1
lveadz48Q0_ke_p80D2rhg,2,1
ts4ZmG1Fde5UfQDDskR5eQ,0,1
D5H_unBtIAOlnnUXo-GxyA,1,0
hWEfYlWvAO3VvNA69Jd2Ag,5,2
mOzxFBAHWwpuH7u5xP0oHw,6,1
BmAhw0dGq0K1-TyIqM8SFg,1,1
kOr4iuBgFoSFFoMfUoTjbQ,11,4
5p60nXyjQruKvEZix6ahVQ,10,2
OIB6OB9cgNMh_Q5y5pSKHw,0,1
QIn3nMX3ywY8a2bCpyQcRA,2,0
qmQ-uxZm5_pi4CvQHQCLeg,3,0
mVVoK2ADlKbvwitSqFY2hw,1,0
ZKsVCA89iXMccf3fEhS3iw,9,7
i2dnic7VdQ3NyiQQWUXHbA,15,21
2dOS56h2QueEIDAdP9-1TQ,4,3
qutQLFutEyHy440jpADnxA,8,11
HAjZ4ZJrJqtVVyilMYQZzQ,1,0
64MxB_OZQ_2JCklRm1LYxw,1,1
RPS0KACAND78Kz1XdQLSeQ,0,1
sDyTfafJfhb_5ewii6TEjg,0,4
vUi2syg5ECIg8vxCATAhzg,1,2
NG3TF5xwiF76S0N8SZ8xuQ,0,1
i5qq_JWzWu_c31Bx9CZjCA,1,0
4aF5GfnVkJPj9IwJ2yxPtQ,6,2
fhvLEIKdL8Xw3ZKrHCPcpA,48,12
ZrbLm7K8y-ikFRbxHBTa-A,0,2
OohttO16eei_cctxUKpRMg,0,1
IFXsOJvq8BaaLjGij639Ow,0,3
J3_FTjy9LAtTtoW_cLwPxg,9,7
g9JQuGPWCif3hLNktDQRsg,7,0
tcnu9ivUsuQUNiz944bpOA,6,0
0XEqyl_lVaJNHRKxNcjJZg,9,5
ODA2yc64rRpJjIOxDvtuHw,2,0
WshwlvpuxGRjivC-J7RLcA,0,1
FeIChuY25UcFQkKwioo6XQ,8,5
rSGeN3SQWbP-uSYsaI1OBA,0,1
BM3mCDw1EPI5DnUFy15Cqg,2,1
swKNEf44cc_90GnM4ULm8w,8,8
ZYbQgWImBuf6QzlV1t5NKw,5,3
B7uZRVo_HwVgpndw2mJGsg,1,0
2qIhUEC4n9pRpovXCTd1Ew,6,0
5o6qOFzZ4NrJ6bJ39ohCtA,1,1
JJys4pp5xmf3bB4E3lmxRA,8,3
R7qr0nUJiVcpBgaQTAywMQ,2,1
ndq4rJcFLMbMGU_gK5u79Q,1,0
aHQOfN-PRlx_4dnJ6fPZXA,0,2
snijUVBxAMcFR4w-qHrYLw,1,7
jy7EdhKbfEYUrAc8nh_Aeg,3,1
5z0qD9Qftputpv37VjFJPQ,1,3
_YIC05xpnIMIkn5LVwKf9w,2,0
-X9QS8l7u5R3CswmfZtn-Q,1,1
uoZwJJaplLsktVrRw0JiQw,2,0
UxWH8zRYIBgs6Q2oykvRdw,87,69
HshPHJ-OJ0rpVR-okV55Rg,3,1
D7e_2VZ2vcVhrhhgaIUluA,2,4
iwh-33qk0BqMcp3qnMLOBg,1,0
T7DmFbHbbXZ6uU4g7P3zHQ,1,0
5q_zOkd2X8lU775IoUnxBQ,2,4
9d36_PI9Fh7kZ-Pybr2QiA,0,9
024QUHVU7nlyW5y2BeeGLg,8,12
QBfiXxrvHtFNUQhKcLt36Q,3,0
YpS6VuH5ooiLfDcy5p7BAA,0,2
wg-1uNV3xHrjWEmULlAFPg,1,1
bxCKBd1qsafnKXlWrCK20g,20,11
XsYLY9LLaFB45MW88AyUHg,0,3
rHSOhNuRXJypsHKoe1ZjCg,2,0
HOqtos5lUqV9x0MJbqwR1Q,1,4
-OxDX2fPQLYi6ChW2Z6xxQ,14,3
yEWrdUczj1_9KTUJEVfIIg,1,0
BQsHIeY0x__B5IHyyQZ1ng,31,3
3dsvREiTlmGaaBjsBS4dwQ,6,2
lzrFRbdvpnLJze9VqJigLw,5,3
weyoKUymzVo5rnTCb961AQ,0,1
-CfFjcCcGGDM9MVH_d42RQ,4,9
eVM2TkAJgXFXXDVom_eCQQ,3,0
YBb-sAYuFv86MGfwQP5Ojg,3,2
2l7LQigjnRhhfUOtvYOKKQ,4,2
gXZuJ68hJdnxN7geBL7bgQ,0,2
ON1okhu0z6jtCSOzt1Y01w,4,1
ufwkkMd9yr9cFU1R5ONArg,3,3
WHIEI9vdwzDKXdi6H6ZyhQ,2,1
Vvco32XScCqccm7mjS5L9g,1,0
-3Haoc0l9DZRSXxIHi9oJg,9,3
IflW1yOEcNQrB2SWxHKoSg,1,0
mZVjVfM3B67KcU_aanFg5g,0,1
pQpre1XGF1l4vh8XE1Jchw,5,3
fJ-2acaqvWOsujUTAJB-ew,32,20
G8WVrozcBBKZozhU7Gf6zA,2,6
BLgwFGqvAIiG9J2ID47YyA,10,5
0gWg-kqRLEQbhui8b_v2Xw,5,1
9vXJXydGeJHLdhRohfd59w,1,2
QSGerT1enEKlvJnYkwthHQ,1,2
mwN2qe93QNCCD9fE7S4BzQ,0,2
vMnB2Cz3c1Io1IEyeLLVOA,4,0
FI3PVYBuz5fioko7qhsPZA,7,10
cGR0XHCZ-tdXLd_REjXFsg,8,3
e9q0RPoKoja0C4Q_a6cnZA,1,5
rgBfJFvuuSURBnanLeLVfg,1,2
L-zHt7gZITG1z8l7TZ4dUg,3,4
GcqBRZ3_PcSelMCUOeuxdQ,0,1
wjGIbeYiciz3ynYIEWCRHQ,2,1
aDAtb_xuCqdf7DVWGiZ14Q,0,1
hdZ_4Vd9opGm5UajNUuhwA,2,3
rOPj68rUjK9tv84ShWaetg,0,2
eoG9zP7xxsDHVM0kJYrvkw,0,10
0C46YhAdmNrNiUAmAq6W0g,1,0
HKt_BDQJmQTc6WhU-3hyaA,0,1
Ws8kssMm4fuprJWSyJFDNA,4,1
BUcTdN-rNE8urCCQuxSOQA,5,2
PrwXfYk-EZpiw5aehyBzzg,0,1
AeIO-BNccGmNpikIj95Dig,1,0
6TQ0gCdAqaBbuDyCGa0joA,24,21
QwAJZuJTo36OAj6DJxz14g,2,1
xDY01sZnL7FeqEXnYC_BRA,19,3
Zdg1CnOe2zVDf5Egzf9RXw,13,5
o6F05UFETgta0S-1TrwHkQ,4,0
